DATE,CSUSHPINSA
1987-01-01,63.754
1987-02-01,64.154
1987-03-01,64.48899999999999
1987-04-01,64.994
1987-05-01,65.569
1987-06-01,66.23899999999999
1987-07-01,66.803
1987-08-01,67.285
1987-09-01,67.638
1987-10-01,67.917
1987-11-01,68.107
1987-12-01,68.358
1988-01-01,68.596
1988-02-01,68.928
1988-03-01,69.336
1988-04-01,69.79899999999999
1988-05-01,70.418
1988-06-01,71.077
1988-07-01,71.695
1988-08-01,72.195
1988-09-01,72.584
1988-10-01,72.832
1988-11-01,73.075
1988-12-01,73.28699999999999
1989-01-01,73.624
1989-02-01,73.973
1989-03-01,74.415
1989-04-01,74.873
1989-05-01,75.30199999999999
1989-06-01,75.703
1989-07-01,76.04899999999999
1989-08-01,76.28
1989-09-01,76.428
1989-10-01,76.493
1989-11-01,76.524
1989-12-01,76.499
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.041
1990-05-01,77.29899999999999
1990-06-01,77.50399999999999
1990-07-01,77.556
1990-08-01,77.473
1990-09-01,77.222
1990-10-01,76.906
1990-11-01,76.375
1990-12-01,75.96600000000001
1991-01-01,75.527
1991-02-01,75.249
1991-03-01,75.14
1991-04-01,75.313
1991-05-01,75.768
1991-06-01,76.253
1991-07-01,76.508
1991-08-01,76.586
1991-09-01,76.572
1991-10-01,76.28699999999999
1991-11-01,76.032
1991-12-01,75.831
1992-01-01,75.695
1992-02-01,75.65
1992-03-01,75.81
1992-04-01,76.077
1992-05-01,76.396
1992-06-01,76.601
1992-07-01,76.71
1992-08-01,76.73100000000001
1992-09-01,76.62899999999999
1992-10-01,76.6
1992-11-01,76.581
1992-12-01,76.467
1993-01-01,76.398
1993-02-01,76.33
1993-03-01,76.385
1993-04-01,76.66199999999999
1993-05-01,77.031
1993-06-01,77.516
1993-07-01,77.885
1993-08-01,78.131
1993-09-01,78.2
1993-10-01,78.176
1993-11-01,78.175
1993-12-01,78.119
1994-01-01,78.204
1994-02-01,78.21
1994-03-01,78.35600000000001
1994-04-01,78.71
1994-05-01,79.218
1994-06-01,79.711
1994-07-01,80.072
1994-08-01,80.325
1994-09-01,80.346
1994-10-01,80.309
1994-11-01,80.17399999999999
1994-12-01,80.084
1995-01-01,80.035
1995-02-01,80.005
1995-03-01,80.094
1995-04-01,80.387
1995-05-01,80.709
1995-06-01,81.085
1995-07-01,81.428
1995-08-01,81.67
1995-09-01,81.756
1995-10-01,81.745
1995-11-01,81.65
1995-12-01,81.53399999999999
1996-01-01,81.44800000000001
1996-02-01,81.421
1996-03-01,81.687
1996-04-01,82.145
1996-05-01,82.62299999999999
1996-06-01,83.072
1996-07-01,83.445
1996-08-01,83.67200000000001
1996-09-01,83.729
1996-10-01,83.655
1996-11-01,83.58200000000001
1996-12-01,83.515
1997-01-01,83.554
1997-02-01,83.618
1997-03-01,83.934
1997-04-01,84.348
1997-05-01,84.895
1997-06-01,85.429
1997-07-01,85.87100000000001
1997-08-01,86.18
1997-09-01,86.34
1997-10-01,86.43700000000001
1997-11-01,86.66
1997-12-01,86.87700000000001
1998-01-01,87.193
1998-02-01,87.404
1998-03-01,87.90799999999999
1998-04-01,88.588
1998-05-01,89.40299999999999
1998-06-01,90.223
1998-07-01,90.887
1998-08-01,91.435
1998-09-01,91.779
1998-10-01,92.02600000000001
1998-11-01,92.223
1998-12-01,92.47
1999-01-01,92.74
1999-02-01,93.007
1999-03-01,93.63799999999999
1999-04-01,94.465
1999-05-01,95.39
1999-06-01,96.39299999999999
1999-07-01,97.22
1999-08-01,97.926
1999-09-01,98.43
1999-10-01,98.866
1999-11-01,99.185
1999-12-01,99.579
2000-01-01,100.00
2000-02-01,100.57
2000-03-01,101.465
2000-04-01,102.541
2000-05-01,103.70299999999999
2000-06-01,104.85600000000001
2000-07-01,105.72200000000001
2000-08-01,106.521
2000-09-01,107.135
2000-10-01,107.728
2000-11-01,108.291
2000-12-01,108.792
2001-01-01,109.215
2001-02-01,109.64299999999999
2001-03-01,110.395
2001-04-01,111.24799999999999
2001-05-01,112.20299999999999
2001-06-01,113.274
2001-07-01,114.229
2001-08-01,114.99
2001-09-01,115.46700000000001
2001-10-01,115.682
2001-11-01,115.839
2001-12-01,116.055
2002-01-01,116.43700000000001
2002-02-01,116.91799999999999
2002-03-01,117.931
2002-04-01,119.211
2002-05-01,120.79
2002-06-01,122.334
2002-07-01,123.68700000000001
2002-08-01,124.729
2002-09-01,125.493
2002-10-01,126.135
2002-11-01,126.64
2002-12-01,127.149
2003-01-01,127.65100000000001
2003-02-01,128.327
2003-03-01,129.31
2003-04-01,130.49
2003-05-01,131.84
2003-06-01,133.225
2003-07-01,134.645
2003-08-01,135.963
2003-09-01,137.076
2003-10-01,137.97799999999998
2003-11-01,138.769
2003-12-01,139.632
2004-01-01,140.711
2004-02-01,142.034
2004-03-01,144.085
2004-04-01,146.18200000000002
2004-05-01,148.335
2004-06-01,150.518
2004-07-01,152.336
2004-08-01,153.813
2004-09-01,155.108
2004-10-01,156.299
2004-11-01,157.498
2004-12-01,158.674
2005-01-01,160.136
2005-02-01,161.93200000000002
2005-03-01,164.582
2005-04-01,167.0
2005-05-01,169.542
2005-06-01,172.013
2005-07-01,174.09599999999998
2005-08-01,175.923
2005-09-01,177.612
2005-10-01,178.755
2005-11-01,179.678
2005-12-01,180.112
2006-01-01,180.833
2006-02-01,181.50400000000002
2006-03-01,182.752
2006-04-01,183.649
2006-05-01,184.38099999999997
2006-06-01,184.551
2006-07-01,184.615
2006-08-01,184.41299999999998
2006-09-01,184.206
2006-10-01,184.06099999999998
2006-11-01,183.637
2006-12-01,183.235
2007-01-01,182.72400000000002
2007-02-01,182.477
2007-03-01,182.2
2007-04-01,182.138
2007-05-01,181.892
2007-06-01,181.548
2007-07-01,181.00099999999998
2007-08-01,180.243
2007-09-01,179.13099999999997
2007-10-01,177.541
2007-11-01,175.174
2007-12-01,173.34900000000002
2008-01-01,171.088
2008-02-01,169.201
2008-03-01,167.91299999999998
2008-04-01,167.331
2008-05-01,167.02900000000002
2008-06-01,166.548
2008-07-01,165.726
2008-08-01,164.291
2008-09-01,161.924
2008-10-01,159.171
2008-11-01,156.079
2008-12-01,152.554
2009-01-01,149.373
2009-02-01,147.629
2009-03-01,146.52700000000002
2009-04-01,146.957
2009-05-01,148.185
2009-06-01,149.81
2009-07-01,150.756
2009-08-01,150.672
2009-09-01,149.631
2009-10-01,148.591
2009-11-01,147.94899999999998
2009-12-01,146.679
2010-01-01,145.003
2010-02-01,143.05700000000002
2010-03-01,143.596
2010-04-01,145.395
2010-05-01,147.02700000000002
2010-06-01,147.69
2010-07-01,147.545
2010-08-01,146.404
2010-09-01,144.59
2010-10-01,143.125
2010-11-01,141.825
2010-12-01,140.637
2011-01-01,139.047
2011-02-01,137.743
2011-03-01,137.792
2011-04-01,139.155
2011-05-01,140.684
2011-06-01,141.934
2011-07-01,142.329
2011-08-01,141.77200000000002
2011-09-01,140.156
2011-10-01,138.399
2011-11-01,136.655
2011-12-01,135.158
2012-01-01,134.16299999999998
2012-02-01,133.997
2012-03-01,135.872
2012-04-01,138.484
2012-05-01,141.062
2012-06-01,143.18
2012-07-01,144.29
2012-08-01,144.711
2012-09-01,144.365
2012-10-01,143.977
2012-11-01,143.971
2012-12-01,143.878
2013-01-01,144.31799999999998
2013-02-01,145.165
2013-03-01,147.967
2013-04-01,150.982
2013-05-01,153.877
2013-06-01,156.447
2013-07-01,158.308
2013-08-01,159.417
2013-09-01,159.696
2013-10-01,159.579
2013-11-01,159.387
2013-12-01,159.308
2014-01-01,159.40200000000002
2014-02-01,159.908
2014-03-01,161.224
2014-04-01,163.0
2014-05-01,164.713
2014-06-01,166.24
2014-07-01,167.16299999999998
2014-08-01,167.47799999999998
2014-09-01,167.27
2014-10-01,166.93900000000002
2014-11-01,166.68900000000002
2014-12-01,166.498
2015-01-01,166.3
2015-02-01,166.69299999999998
2015-03-01,168.15099999999998
2015-04-01,170.02599999999998
2015-05-01,171.90400000000002
2015-06-01,173.505
2015-07-01,174.551
2015-08-01,174.998
2015-09-01,175.113
2015-10-01,175.12400000000002
2015-11-01,175.225
2015-12-01,175.203
2016-01-01,175.12
2016-02-01,175.361
2016-03-01,176.68
2016-04-01,178.574
2016-05-01,180.43
2016-06-01,182.016
2016-07-01,183.132
2016-08-01,183.783
2016-09-01,184.08700000000002
2016-10-01,184.169
2016-11-01,184.396
2016-12-01,184.584
2017-01-01,184.83700000000002
2017-02-01,185.22099999999998
2017-03-01,186.727
2017-04-01,188.734
2017-05-01,190.735
2017-06-01,192.472
2017-07-01,193.73
2017-08-01,194.579
2017-09-01,195.06599999999997
2017-10-01,195.34799999999998
2017-11-01,195.739
2017-12-01,196.15099999999998
2018-01-01,196.426
2018-02-01,197.23
2018-03-01,198.92700000000002
2018-04-01,200.99599999999998
2018-05-01,202.90599999999998
2018-06-01,204.484
