DATE,GDPC1
1987-01-01,8369.93
1987-04-01,8460.233
1987-07-01,8533.635
1987-10-01,8680.162
1988-01-01,8725.006
1988-04-01,8839.641
1988-07-01,8891.435
1988-10-01,9009.913
1989-01-01,9101.508
1989-04-01,9170.977
1989-07-01,9238.923
1989-10-01,9257.128
1990-01-01,9358.289
1990-04-01,9392.251
1990-07-01,9398.499
1990-10-01,9312.937
1991-01-01,9269.367
1991-04-01,9341.642
1991-07-01,9388.845
1991-10-01,9421.565
1992-01-01,9534.346
1992-04-01,9637.732
1992-07-01,9732.979
1992-10-01,9834.51
1993-01-01,9850.973
1993-04-01,9908.347
1993-07-01,9955.641
1993-10-01,10091.049
1994-01-01,10188.954
1994-04-01,10327.019
1994-07-01,10387.382
1994-10-01,10506.372
1995-01-01,10543.644
1995-04-01,10575.1
1995-07-01,10665.06
1995-10-01,10737.478
1996-01-01,10817.896
1996-04-01,10998.322
1996-07-01,11096.976
1996-10-01,11212.205
1997-01-01,11284.587
1997-04-01,11472.137
1997-07-01,11615.636
1997-10-01,11715.393
1998-01-01,11832.486
1998-04-01,11942.032
1998-07-01,12091.614
1998-10-01,12287.0
1999-01-01,12403.293
1999-04-01,12498.694
1999-07-01,12662.385
1999-10-01,12877.593
2000-01-01,12924.179
2000-04-01,13160.842
2000-07-01,13178.419
2000-10-01,13260.506
2001-01-01,13222.69
2001-04-01,13299.984
2001-07-01,13244.784
2001-10-01,13280.859
2002-01-01,13397.002
2002-04-01,13478.152
2002-07-01,13538.072
2002-10-01,13559.032
2003-01-01,13634.253
2003-04-01,13751.543
2003-07-01,13985.073
2003-10-01,14145.645
2004-01-01,14221.147
2004-04-01,14329.523
2004-07-01,14464.984
2004-10-01,14609.876
2005-01-01,14771.602
2005-04-01,14839.782
2005-07-01,14972.054
2005-10-01,15066.597
2006-01-01,15267.026
2006-04-01,15302.705
2006-07-01,15326.368
2006-10-01,15456.928
2007-01-01,15493.328
2007-04-01,15582.085
2007-07-01,15666.738
2007-10-01,15761.967
2008-01-01,15671.383
2008-04-01,15752.308
2008-07-01,15667.032
2008-10-01,15328.027
2009-01-01,15155.94
2009-04-01,15134.117
2009-07-01,15189.222
2009-10-01,15356.058
2010-01-01,15415.145
2010-04-01,15557.277
2010-07-01,15671.967
2010-10-01,15750.625
2011-01-01,15712.754
2011-04-01,15825.096
2011-07-01,15820.7
2011-10-01,16004.107
2012-01-01,16129.418
2012-04-01,16198.807
2012-07-01,16220.667
2012-10-01,16239.138
2013-01-01,16382.964
2013-04-01,16403.18
2013-07-01,16531.685
2013-10-01,16663.649
2014-01-01,16621.696
2014-04-01,16830.111
2014-07-01,17033.572
2014-10-01,17113.945
2015-01-01,17254.744
2015-04-01,17397.029
2015-07-01,17438.802
2015-10-01,17456.225
2016-01-01,17523.374
2016-04-01,17622.486
2016-07-01,17706.705
2016-10-01,17784.185
2017-01-01,17863.023
2017-04-01,17995.15
2017-07-01,18120.843
2017-10-01,18223.758
2018-01-01,18323.963
2018-04-01,18511.576
