DATE,GFDEGDQ188S
1966-01-01,40.33999
1966-04-01,39.26763
1966-07-01,39.62091
1966-10-01,39.51977
1967-01-01,39.20383
1967-04-01,38.03292
1967-07-01,38.82145
1967-10-01,39.10231
1968-01-01,38.42951
1968-04-01,36.96379
1968-07-01,37.30897
1968-10-01,36.98532
1969-01-01,36.19577
1969-04-01,34.97403
1969-07-01,35.01946
1969-10-01,35.46954
1970-01-01,35.38879
1970-04-01,34.67329
1970-07-01,34.86717
1970-10-01,35.74822
1971-01-01,34.50345
1971-04-01,34.36089
1971-07-01,35.00694
1971-10-01,35.63237
1972-01-01,34.72622
1972-04-01,33.67383
1972-07-01,33.62447
1972-10-01,33.74758
1973-01-01,33.29287
1973-04-01,32.34466
1973-07-01,32.12455
1973-10-01,31.77379
1974-01-01,31.76449
1974-04-01,30.99462
1974-07-01,30.86269
1974-10-01,30.79768
1975-01-01,31.53604
1975-04-01,32.27817
1975-07-01,32.38043
1975-10-01,32.73010
1976-01-01,32.98513
1976-04-01,33.49464
1976-07-01,33.64333
1976-10-01,33.78753
1977-01-01,33.65136
1977-04-01,32.80422
1977-07-01,32.98791
1977-10-01,33.21873
1978-01-01,33.50120
1978-04-01,32.12444
1978-07-01,32.21407
1978-10-01,31.86206
1979-01-01,31.53601
1979-04-01,31.06277
1979-07-01,30.98402
1979-10-01,31.02615
1980-01-01,30.94982
1980-04-01,31.37303
1980-07-01,31.77687
1980-10-01,31.15700
1981-01-01,30.87284
1981-04-01,30.70875
1981-07-01,30.60333
1981-10-01,31.35587
1982-01-01,32.41298
1982-04-01,32.40213
1982-07-01,33.92530
1982-10-01,35.18156
1983-01-01,35.82911
1983-04-01,36.87167
1983-07-01,37.33110
1983-10-01,37.17553
1984-01-01,37.45447
1984-04-01,37.72687
1984-07-01,38.49586
1984-10-01,40.08547
1985-01-01,40.44121
1985-04-01,41.31983
1985-07-01,41.55909
1985-10-01,43.78715
1986-01-01,44.07415
1986-04-01,45.30682
1986-07-01,46.12536
1986-10-01,47.55286
1987-01-01,47.57835
1987-04-01,48.04867
1987-07-01,48.11650
1987-10-01,48.55667
1988-01-01,49.03151
1988-04-01,49.08744
1988-07-01,49.25732
1988-10-01,49.71548
1989-01-01,49.73276
1989-04-01,49.88760
1989-07-01,50.17117
1989-10-01,51.38111
1990-01-01,51.96856
1990-04-01,52.74730
1990-07-01,53.75313
1990-10-01,56.03613
1991-01-01,57.41652
1991-04-01,57.74551
1991-07-01,59.06123
1991-10-01,60.68599
1992-01-01,60.99679
1992-04-01,61.57938
1992-07-01,61.89802
1992-10-01,62.52256
1993-01-01,62.86657
1993-04-01,63.91524
1993-07-01,64.10093
1993-10-01,64.66861
1994-01-01,64.30709
1994-04-01,64.10716
1994-07-01,64.01176
1994-10-01,64.38584
1995-01-01,64.66271
1995-04-01,65.31294
1995-07-01,64.73906
1995-10-01,64.18282
1996-01-01,65.04171
1996-04-01,64.24970
1996-07-01,64.25469
1996-10-01,64.44697
1997-01-01,64.34428
1997-04-01,63.10907
1997-07-01,62.48709
1997-10-01,62.77032
1998-01-01,62.50988
1998-04-01,61.85196
1998-07-01,60.58693
1998-10-01,60.40696
1999-01-01,60.01334
1999-04-01,59.20506
1999-07-01,58.42135
1999-10-01,58.34802
2000-01-01,57.71743
2000-04-01,55.48513
2000-07-01,54.98329
2000-10-01,54.24085
2001-01-01,55.13040
2001-04-01,54.03766
2001-07-01,54.80656
2001-10-01,55.75305
2002-01-01,55.66835
2002-04-01,56.24119
2002-07-01,56.66127
2002-10-01,57.85782
2003-01-01,57.77057
2003-04-01,58.96044
2003-07-01,58.64208
2003-10-01,59.45960
2004-01-01,59.82355
2004-04-01,60.07385
2004-07-01,59.97601
2004-10-01,60.66032
2005-01-01,60.94141
2005-04-01,60.70087
2005-07-01,60.35750
2005-10-01,61.28277
2006-01-01,61.53482
2006-04-01,61.23753
2006-07-01,61.34482
2006-10-01,61.83717
2007-01-01,62.28400
2007-04-01,61.65661
2007-07-01,61.97214
2007-10-01,62.86259
2008-01-01,64.41587
2008-04-01,64.11087
2008-07-01,67.57397
2008-10-01,73.48998
2009-01-01,77.29970
2009-04-01,80.43890
2009-07-01,82.59064
2009-10-01,84.16278
2010-01-01,86.76598
2010-04-01,88.44771
2010-07-01,89.93168
2010-10-01,92.02388
2011-01-01,93.35519
2011-04-01,92.55880
2011-07-01,94.85943
2011-10-01,96.36931
2012-01-01,97.42044
2012-04-01,98.15989
2012-07-01,98.82568
2012-10-01,100.45154
2013-01-01,101.21783
2013-04-01,100.60340
2013-07-01,99.34376
2013-10-01,100.42722
2014-01-01,102.91351
2014-04-01,101.18698
2014-07-01,100.58824
2014-10-01,101.69852
2015-01-01,101.01074
2015-04-01,99.61967
2015-07-01,99.01547
2015-10-01,103.09358
2016-01-01,104.64883
2016-04-01,103.97441
2016-07-01,104.11602
2016-10-01,105.25617
2017-01-01,103.56878
2017-04-01,102.50751
2017-07-01,103.35319
2017-10-01,103.33261
2018-01-01,105.23224
