DATE,HBPIGDQ188S
1970-01-01,21.40411
1970-04-01,20.34899
1970-07-01,20.47771
1970-10-01,21.04522
1971-01-01,20.07654
1971-04-01,19.79640
1971-07-01,20.15836
1971-10-01,20.75112
1972-01-01,20.40453
1972-04-01,19.23610
1972-07-01,19.35585
1972-10-01,19.69292
1973-01-01,19.28145
1973-04-01,18.31122
1973-07-01,17.89602
1973-10-01,17.67269
1974-01-01,17.63670
1974-04-01,16.69874
1974-07-01,16.67280
1974-10-01,16.94090
1975-01-01,17.93188
1975-04-01,18.35514
1975-07-01,18.97276
1975-10-01,19.83164
1976-01-01,20.41761
1976-04-01,20.32033
1976-07-01,20.78918
1976-10-01,21.17074
1977-01-01,21.53725
1977-04-01,20.47756
1977-07-01,20.70359
1977-10-01,21.31435
1978-01-01,21.95882
1978-04-01,20.49208
1978-07-01,20.38786
1978-10-01,20.53333
1979-01-01,20.56511
1979-04-01,19.93635
1979-07-01,19.62089
1979-10-01,19.84300
1980-01-01,20.09074
1980-04-01,19.95459
1980-07-01,20.62676
1980-10-01,20.64606
1981-01-01,20.95252
1981-04-01,20.59110
1981-07-01,20.40723
1981-10-01,21.16850
1982-01-01,22.39561
1982-04-01,22.23608
1982-07-01,23.50340
1982-10-01,24.93416
1983-01-01,26.10113
1983-04-01,26.50574
1983-07-01,26.63736
1983-10-01,26.94807
1984-01-01,27.45612
1984-04-01,27.48902
1984-07-01,28.25733
1984-10-01,29.22707
1985-01-01,29.64658
1985-04-01,30.08228
1985-07-01,30.50534
1985-10-01,31.88951
1986-01-01,32.67823
1986-04-01,33.06023
1986-07-01,33.71119
1986-10-01,34.39520
1987-01-01,34.75955
1987-04-01,34.49948
1987-07-01,34.40846
1987-10-01,34.57273
1988-01-01,35.07726
1988-04-01,34.42558
1988-07-01,34.47391
1988-10-01,34.41980
1989-01-01,34.53661
1989-04-01,34.01537
1989-07-01,34.38410
1989-10-01,35.10208
1990-01-01,36.04134
1990-04-01,35.90587
1990-07-01,36.69588
1990-10-01,38.39138
1991-01-01,39.11401
1991-04-01,39.15381
1991-07-01,40.25822
1991-10-01,41.16024
1992-01-01,41.89466
1992-04-01,41.91778
1992-07-01,42.36869
1992-10-01,42.61913
1993-01-01,43.12382
1993-04-01,43.34596
1993-07-01,43.43588
1993-10-01,43.62296
1994-01-01,43.56453
1994-04-01,42.75327
1994-07-01,42.69497
1994-10-01,42.62210
1995-01-01,43.13581
1995-04-01,43.01941
1995-07-01,42.76906
1995-10-01,42.55598
1996-01-01,43.04142
1996-04-01,41.75858
1996-07-01,41.72955
1996-10-01,41.54110
1997-01-01,41.28115
1997-04-01,39.64514
1997-07-01,39.26665
1997-10-01,38.95319
1998-01-01,38.76961
1998-04-01,37.34016
1998-07-01,36.32458
1998-10-01,35.87264
1999-01-01,35.33404
1999-04-01,33.59039
1999-07-01,32.79743
1999-10-01,32.66771
2000-01-01,31.81891
2000-04-01,29.15099
2000-07-01,28.45300
2000-10-01,27.59262
2001-01-01,27.62182
2001-04-01,25.69018
2001-07-01,26.23276
2001-10-01,26.44861
2002-01-01,26.40850
2002-04-01,26.16126
2002-07-01,26.60832
2002-10-01,27.26379
2003-01-01,27.45114
2003-04-01,27.97432
2003-07-01,28.25113
2003-10-01,28.70100
2004-01-01,29.38549
2004-04-01,29.16429
2004-07-01,29.31806
2004-10-01,29.47113
2005-01-01,30.20843
2005-04-01,29.45773
2005-07-01,29.40757
2005-10-01,29.78477
2006-01-01,30.24125
2006-04-01,29.31532
2006-07-01,29.37955
2006-10-01,29.36548
2007-01-01,30.07411
2007-04-01,28.87286
2007-07-01,29.37529
2007-10-01,29.94040
2008-01-01,32.37245
2008-04-01,32.46202
2008-07-01,35.94158
2008-10-01,40.47792
2009-01-01,44.05627
2009-04-01,45.41607
2009-07-01,47.03574
2009-10-01,48.08853
2010-01-01,51.03676
2010-04-01,52.63733
2010-07-01,54.45056
2010-10-01,54.91100
2011-01-01,54.37128
2011-04-01,52.41740
2011-07-01,54.27451
2011-10-01,55.60296
2012-01-01,57.33607
2012-04-01,58.07052
2012-07-01,59.17027
2012-10-01,60.57328
2013-01-01,61.04436
2013-04-01,59.89268
2013-07-01,58.78182
2013-10-01,59.39541
2014-01-01,60.22184
2014-04-01,58.37104
2014-07-01,58.31431
2014-10-01,59.21253
2015-01-01,59.15721
2015-04-01,58.25874
2015-07-01,58.16293
2015-10-01,61.08081
2016-01-01,62.27128
2016-04-01,61.53406
2016-07-01,62.28787
2016-10-01,63.07574
2017-01-01,62.12795
2017-04-01,61.47541
2017-07-01,62.32364
2017-10-01,62.32708
2018-01-01,64.88334
