DATE,MEHOINUSA672N
1984-01-01,50511
1985-01-01,51455
1986-01-01,53309
1987-01-01,53945
1988-01-01,54390
1989-01-01,55329
1990-01-01,54621
1991-01-01,53025
1992-01-01,52615
1993-01-01,52334
1994-01-01,52942
1995-01-01,54600
1996-01-01,55394
1997-01-01,56533
1998-01-01,58612
1999-01-01,60062
2000-01-01,59938
2001-01-01,58609
2002-01-01,57947
2003-01-01,57875
2004-01-01,57674
2005-01-01,58291
2006-01-01,58746
2007-01-01,59534
2008-01-01,57412
2009-01-01,57010
2010-01-01,55520
2011-01-01,54673
2012-01-01,54569
2013-01-01,56479
2014-01-01,55613
2015-01-01,58476
2016-01-01,60309
2017-01-01,61372
