DATE,MEPAINUSA672N
1974-01-01,23426
1975-01-01,22982
1976-01-01,23028
1977-01-01,23202
1978-01-01,23010
1979-01-01,22378
1980-01-01,22038
1981-01-01,21627
1982-01-01,21856
1983-01-01,22284
1984-01-01,22928
1985-01-01,23424
1986-01-01,24147
1987-01-01,24470
1988-01-01,25240
1989-01-01,25905
1990-01-01,25626
1991-01-01,25251
1992-01-01,24997
1993-01-01,25242
1994-01-01,25552
1995-01-01,26253
1996-01-01,26810
1997-01-01,27987
1998-01-01,29375
1999-01-01,29673
2000-01-01,29998
2001-01-01,29734
2002-01-01,29519
2003-01-01,29586
2004-01-01,29496
2005-01-01,29895
2006-01-01,30707
2007-01-01,30821
2008-01-01,29556
2009-01-01,29235
2010-01-01,28815
2011-01-01,28366
2012-01-01,28213
2013-01-01,28518
2014-01-01,29154
2015-01-01,30622
2016-01-01,31099
