DATE,WPU5121010112
2014-06-01,100.0
2014-07-01,99.9
2014-08-01,99.8
2014-09-01,99.8
2014-10-01,99.8
2014-11-01,99.9
2014-12-01,99.9
2015-01-01,99.9
2015-02-01,100.2
2015-03-01,99.8
2015-04-01,99.8
2015-05-01,99.4
2015-06-01,99.4
2015-07-01,100.3
2015-08-01,100.3
2015-09-01,100.7
2015-10-01,100.6
2015-11-01,100.9
2015-12-01,100.8
2016-01-01,101.1
2016-02-01,101.1
2016-03-01,101.1
2016-04-01,101.1
2016-05-01,101.1
2016-06-01,101.1
2016-07-01,103.3
2016-08-01,103.3
2016-09-01,103.2
2016-10-01,103.5
2016-11-01,103.5
2016-12-01,103.7
2017-01-01,103.8
2017-02-01,101.8
2017-03-01,102.0
2017-04-01,102.0
2017-05-01,102.0
2017-06-01,102.2
2017-07-01,102.5
2017-08-01,102.5
2017-09-01,102.5
2017-10-01,102.8
2017-11-01,102.8
2017-12-01,102.8
2018-01-01,103.3
2018-02-01,103.2
2018-03-01,103.2
2018-04-01,103.3
2018-05-01,103.3
2018-06-01,103.2
2018-07-01,102.9
2018-08-01,102.6
